,Comment,Sentiment,Summary,% Positive Comments,% Negative Comments,% Neutral Comments,Average Sentiment,Titles,IDs
10,I’m all for a Harriet monument. Good for her. It does feel like a monument replacing Columbus should be a native american figure though. Still Harriet is obviously much more worthy of memorialization than that genocidal maniac. Good move for them.,"{'neg': 0.061, 'neu': 0.712, 'pos': 0.227, 'compound': 0.8122}",Positive,,,,,,
11,[deleted],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,,,
12,About time this woman gets a true monument. Should be bigger,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",Positive,,,,,,
13,Columbus is a hero in this house end of story,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5574}",Positive,,,,,,
14,"Harriet Tubman really is probably the single most inspiring person in American history. To not only escape slavery, but then to come back and help more people get out, is bravery, selflessness, and heroism almost unprecedented in world history.

And did it all while suffering from a traumatic brain injury as a child that caused her to experience seizures for all her life, that could paralyze her for hours at a time.","{'neg': 0.15, 'neu': 0.666, 'pos': 0.185, 'compound': 0.5177}",Positive,,,,,,
15,Bout fuckin time she got a monument. She was badass.,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",Positive,,,,,,
16,Columbus was BS. She was anything but.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,,,
17,Nice. Columbus was a piece of shit.,"{'neg': 0.316, 'neu': 0.439, 'pos': 0.246, 'compound': -0.2023}",Negative,,,,,,
18,Can we get her on our $20 now?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,,,
19,"It would be nice if they made a monument that wasn’t an objectively worse design. I don’t care who’s face they depict on that, it looks bad.","{'neg': 0.185, 'neu': 0.646, 'pos': 0.169, 'compound': -0.1531}",Negative,,,,,,
20,"Stand Your Ground has to be one of the most ridiculous laws in a heap of ridiculous laws. At best, it should be like Texas' old ""Needed Killing"" defense that almost never worked because it was stupid.","{'neg': 0.255, 'neu': 0.585, 'pos': 0.16, 'compound': -0.7089}",Negative,,,,,,
21,"Do not visit Florida unless you want to be murdered with impunity. 

I hate republicans","{'neg': 0.379, 'neu': 0.561, 'pos': 0.061, 'compound': -0.8316}",Negative,,,,,,
22,"I don’t think the charges would’ve been dropped, had he been black","{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}",Negative,,,,,,
23,"Theoretically, if Stand Your Ground laws apply to situations involving cars, then every Florida highway should just be a running gun battle 24/7.

If I shot at every motorist who threatened my life, I'd be killing a couple dudes a week. And a few dudettes. Florida is a failed state.","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.9403}",Negative,,,,,,
24,If he was George Floyd  or Trevor Martin the charges would have been totally different.,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2732}",Negative,,,,,,
25,What a joke Florida is,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}",Positive,,,,,,
26,"But that’s a fact the jury should decide! He’s raising an affirmative defense, so he should convince people he’s right. Ugh fuck Florida. Idk know about their gun laws but aren’t guns and ammo supposed to be separated in a car anyways? Ffs","{'neg': 0.314, 'neu': 0.607, 'pos': 0.078, 'compound': -0.9432}",Negative,,,,,,
27,Another reason to avoid Florida.,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",Negative,,,,,,
28,Another crazy story emanating from Thirdworldistan.,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",Negative,,,,,,
29,Can they at least take his gun away?!,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4003}",Negative,,,,,,
30,You know you can hold both party's responsible right? It's honestly amazing how we've devolved into a them or us mindset with politics these days that are more focused on purity tests than getting things done.,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.8999}",Positive,,,,,,
31,"I mean, do they have a Diversity and Inclusion initiative?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,,,
32,Buy electric and invest in hydrogen. Fuck these asshats.,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",Negative,,,,,,
33,"this money should be seized, Saudi family or no other family has right to be so rich that it distorts reality. They fund radical ideologies and suppress dissent. Oil should be made cheap so that the many poor countries can benefit which have to import oil using their dollar reserves.","{'neg': 0.128, 'neu': 0.746, 'pos': 0.126, 'compound': 0.2302}",Positive,,,,,,
34,"This 100%. Gas should be more expensive. People would be forced to, you know, do things that don’t destroy the environment.","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.7579}",Negative,,,,,,
35,This is a terrible idea.,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",Negative,,,,,,
36,"Lmfao. Ok. Go and try to seize it. See what happens. 

they do have the right to be rich. You don’t have right to just take it from them freely. And you never will…what a skull fucked idea. 

Thank god you don’t make any important decisions in this world.","{'neg': 0.07, 'neu': 0.669, 'pos': 0.261, 'compound': 0.875}",Positive,,,,,,
37,"And once that oil arrives in said poor countries, the domestic mafia manages it and will triple the price anyways, be it sold cheap or not.

Good luck seizing the mafia's money too.

PS: Don't pull that thread, otherwise you will be seizing the money of a few thousands corporations and you will have 2-3 enemies","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.8803}",Negative,,,,,,
38,How’s that oligarch dick taste?,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}",Negative,,,,,,
39,"Go enlist and tell them you want to shoot some saudis then, war hawk.","{'neg': 0.339, 'neu': 0.591, 'pos': 0.07, 'compound': -0.7184}",Negative,,,,,,
40,"Taste better than poverty dick with socialist ball gargling. Go learn to make your own fucking wealth.

Only broke fucks think it’s ok to just take away others wealth. 

I definitely agree there needs to be some limits to the billions and billions owned by .001 percent but most of y’all don’t even want millionaires to exist. To that I say fuck off.","{'neg': 0.17, 'neu': 0.662, 'pos': 0.168, 'compound': -0.4914}",Negative,,,,,,
